protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_006568907,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,6.20868658153652e-23,3.24413638741356,3.14288174413445
XP_003251652,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,9.35076329961074e-20,7.05514758260109,6.791463219917877
XP_026302279,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,2.23111263193646e-18,2.14396795424122,2.013175279667185
XP_006571016,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.4709939631171e-17,4.95600879169449,4.88125231429243
XP_006569794,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,2.8788403293639e-17,1.9991586683604,1.85945021399806
XP_006558909,2020,A,1,CRA_vs_HBB,4.484478898987e-15,3.12472119973405,3.12472119973405
XP_006559390,2020,A,1,CRA_vs_HBB,7.43967836562032e-15,1.85811252199112,1.85811252199112
XP_006569214,2020,A,1,CAS_vs_CRA,1.52766589939736e-14,3.74107234888993,3.74107234888993
XP_393315,2020,A,1,CAC_vs_HBB,6.71782657190327e-14,1.81320881083051,1.81320881083051
XP_006568799,2020,A,1,CAS_vs_CRA,1.69637194010416e-11,1.63459549367203,1.63459549367203
XP_393509,2020,A,1,CAS_vs_CRA,1.69637194010416e-11,1.04236085845031,1.04236085845031
XP_392919,2020,A,1,CAS_vs_CRA,9.663714734361989e-11,1.26445685617622,1.26445685617622
XP_026301049,2020,A,1,CAS_vs_CRA,1.0278543962456e-10,2.20560667616605,2.20560667616605
XP_026300835,2020,A,1,CAC_vs_CRA,1.49063192835118e-09,1.6128806577238,1.6128806577238
XP_395163,2020,A,1,CAC_vs_CRA,2.03819426805222e-09,2.06805957247641,2.06805957247641
XP_006566627,2020,A,1,CAC_vs_CRA,2.51763109469319e-09,2.2495480002118,2.2495480002118
XP_016770574,2020,A,1,CAC_vs_CRA,3.52883733186411e-09,3.37115373900732,3.37115373900732
XP_016772954,2020,A,1,CAC_vs_CRA,3.52883733186411e-09,2.57277547681758,2.57277547681758
XP_006569106,2020,A,1,CAC_vs_CAS,7.34414021341723e-05,1.4216428087764,1.4216428087764
XP_026298908,2020,A,1,CAC_vs_CAS,0.0014756186435614,0.899502816737828,0.899502816737828
NP_008083,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.17734125730232,1.17734125730232
XP_006564977,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.04005729664694,1.04005729664694
XP_624704,2020,A,1,CAC_vs_CAS,0.0055545112615203,0.970243240165395,0.970243240165395
