protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_006568907,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,6.20868658153652e-23,3.24413638741356,3.14288174413445
XP_003251652,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,9.35076329961074e-20,7.05514758260109,6.791463219917877
XP_026302279,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,2.23111263193646e-18,2.14396795424122,2.013175279667185
XP_006571016,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.4709939631171e-17,4.95600879169449,4.88125231429243
XP_006569794,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,2.8788403293639e-17,1.9991586683604,1.85945021399806
XP_393315,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,3.95720696721401e-17,1.82180101066215,1.7694275086415068
XP_006559390,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,3.5785045953630697e-16,1.96150452016399,1.89422773910606
XP_006558909,2020,A,1,CRA_vs_HBB,4.484478898987e-15,3.12472119973405,3.12472119973405
XP_006568746,2020,A,1,CRA_vs_HBB,7.96324420692983e-15,1.55598874402107,1.55598874402107
XP_006569214,2020,A,1,CAS_vs_CRA,1.52766589939736e-14,3.74107234888993,3.74107234888993
NP_008086,2020,A,1,CAC_vs_HBB,6.98532683731412e-13,2.74777853311077,2.74777853311077
XP_006568799,2020,A,1,CAS_vs_CRA,1.69637194010416e-11,1.63459549367203,1.63459549367203
XP_393509,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.69637194010416e-11,1.13963678528566,1.090998821867985
XP_392919,2020,A,1,CAS_vs_CRA,9.663714734361989e-11,1.26445685617622,1.26445685617622
XP_016772954,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.0278543962456e-10,2.5756388006944,2.57420713875599
XP_026301049,2020,A,1,CAS_vs_CRA,1.0278543962456e-10,2.20560667616605,2.20560667616605
XP_623433,2020,A,1,CAS_vs_CRA,1.0278543962456e-10,3.26602286428155,3.26602286428155
XP_026300835,2020,A,1,CAC_vs_CRA,1.49063192835118e-09,1.6128806577238,1.6128806577238
XP_395163,2020,A,1,CAC_vs_CRA,2.03819426805222e-09,2.06805957247641,2.06805957247641
XP_006566627,2020,A,1,CAC_vs_CRA,2.51763109469319e-09,2.2495480002118,2.2495480002118
XP_016770574,2020,A,1,CAC_vs_CRA,3.52883733186411e-09,3.37115373900732,3.37115373900732
XP_394313,2020,A,1,CAC_vs_CRA,3.52883733186411e-09,1.78913232297363,1.78913232297363
XP_006569106,2020,A,1,CAC_vs_CAS,7.34414021341723e-05,1.4216428087764,1.4216428087764
XP_026298908,2020,A,1,CAC_vs_CAS,0.0014756186435614,0.899502816737828,0.899502816737828
NP_008083,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.17734125730232,1.17734125730232
XP_006564162,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.04903850408813,1.04903850408813
XP_006564977,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.04005729664694,1.04005729664694
XP_394153,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.17322882112779,1.17322882112779
XP_624704,2020,A,1,CAC_vs_CAS,0.0055545112615203,0.970243240165395,0.970243240165395
