protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_006568907,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,6.20868658153652e-23,3.24413638741356,3.14288174413445
XP_003251652,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,9.35076329961074e-20,7.05514758260109,6.791463219917877
XP_026302279,2020,A,3,CAC_vs_HBB;CAS_vs_CRA;CAS_vs_HBB,2.23111263193646e-18,2.14396795424122,1.6434397825812084
XP_006571016,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.4709939631171e-17,4.95600879169449,4.71560391351863
XP_006569794,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,2.8788403293639e-17,1.9991586683604,1.85945021399806
XP_393315,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,3.95720696721401e-17,1.82180101066215,1.7694275086415068
XP_006559390,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,3.5785045953630697e-16,1.96150452016399,1.89422773910606
XP_394739,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.04282050315551e-15,1.56527991052911,1.4899496126011549
XP_006569283,2020,A,1,CAS_vs_HBB,1.85473011543559e-15,2.00397237878977,2.00397237878977
XP_016767451,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.85473011543559e-15,1.74187623045936,1.734866868983145
NP_008086,2020,A,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,2.1247410208918503e-15,3.3281888320846,2.8667559798338664
NP_001153520,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,4.18177324322309e-15,1.2366976010358,1.2200520079667951
XP_006564514,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,4.18177324322309e-15,2.1425777960691,2.0537049917767
XP_006558909,2020,A,2,CAC_vs_HBB;CRA_vs_HBB,4.484478898987e-15,3.12472119973405,2.98190868495628
XP_392843,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,6.63867051131765e-15,1.69242356814106,1.562220864423185
XP_006568746,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,7.660478061492671e-15,1.55598874402107,1.501911282082475
XP_006564561,2020,A,1,CAS_vs_HBB,1.06730639470155e-14,1.11609796142845,1.11609796142845
XP_006570292,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.07220289883551e-14,2.09555474839651,2.003543302280765
XP_623282,2020,A,2,CAC_vs_HBB;CAS_vs_HBB,1.4426225182885e-14,1.38640558004754,1.3646730707753352
NP_001265259,2020,A,1,CAS_vs_HBB,1.45985726383879e-14,1.82546076236507,1.82546076236507
XP_006569315,2020,A,2,CAS_vs_HBB;CRA_vs_HBB,1.45985726383879e-14,1.93932925645923,1.84652394112203
XP_006569214,2020,A,2,CAS_vs_CRA;CRA_vs_HBB,1.52766589939736e-14,4.98873612086977,4.36490423487985
XP_026296548,2020,A,2,CAS_vs_CRA;CRA_vs_HBB,1.73864687504681e-14,1.63238309006616,1.309705590084011
XP_016767411,2020,A,2,CAC_vs_CRA;CRA_vs_HBB,1.7525770239031702e-14,1.99751463352038,1.539927351005725
XP_006572525,2020,A,1,CRA_vs_HBB,2.1678686681604602e-14,1.80706114537772,1.80706114537772
XP_016772178,2020,A,1,CRA_vs_HBB,6.07235804314156e-14,1.8445693768921,1.8445693768921
XP_006568387,2020,A,1,CRA_vs_HBB,6.74250278248862e-14,2.60992996358896,2.60992996358896
XP_016767692,2020,A,2,CAC_vs_HBB;CRA_vs_HBB,8.16045738075523e-14,2.43692838076694,2.378283233703205
XP_624310,2020,A,1,CRA_vs_HBB,1.3968959495072799e-13,2.76648173691166,2.76648173691166
XP_624088,2020,A,1,CAC_vs_HBB,9.19210658097148e-13,1.38664599636849,1.38664599636849
XP_392599,2020,A,1,CAC_vs_HBB,3.17240649383378e-12,2.61321061411596,2.61321061411596
XP_026298204,2020,A,1,CAC_vs_HBB,4.230623978710599e-12,2.7904309150011,2.7904309150011
XP_026295579,2020,A,1,CAC_vs_HBB,6.70961655840324e-12,1.33923957278255,1.33923957278255
XP_026301628,2020,A,1,CAC_vs_HBB,6.7381897063115095e-12,5.00417033732309,5.00417033732309
XP_006567037,2020,A,1,CAC_vs_HBB,6.8372684793024e-12,1.67641383406331,1.67641383406331
XP_006568799,2020,A,1,CAS_vs_CRA,1.69637194010416e-11,1.63459549367203,1.63459549367203
XP_393509,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.69637194010416e-11,1.13963678528566,1.090998821867985
XP_392919,2020,A,1,CAS_vs_CRA,9.663714734361989e-11,1.26445685617622,1.26445685617622
XP_016772954,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.0278543962456e-10,2.5756388006944,2.57420713875599
XP_026301049,2020,A,1,CAS_vs_CRA,1.0278543962456e-10,2.20560667616605,2.20560667616605
XP_623433,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.0278543962456e-10,3.26602286428155,3.151465349559185
XP_016772335,2020,A,1,CAS_vs_CRA,1.46033939413877e-10,1.57786667354529,1.57786667354529
XP_006569713,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,1.58527837601758e-10,2.51351142688582,2.463068584786935
XP_006557586,2020,A,1,CAS_vs_CRA,1.62961996983647e-10,2.84109257380316,2.84109257380316
XP_006566627,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,2.42844874362534e-10,2.2495480002118,2.248188126843925
XP_395163,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,2.46226517210658e-10,2.06805957247641,1.9781576135820402
XP_006564223,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,3.78113595050493e-10,1.03283587553938,0.99799979873611
XP_006567174,2020,A,1,CAS_vs_CRA,4.41689005165577e-10,1.26189890616133,1.26189890616133
XP_394313,2020,A,2,CAC_vs_CRA;CAS_vs_CRA,4.5826064131291703e-10,1.78913232297363,1.68611171805999
XP_006564321,2020,A,1,CAS_vs_CRA,9.76417860158108e-10,0.787547090954085,0.787547090954085
XP_395653,2020,A,1,CAS_vs_CRA,9.76417860158108e-10,2.25613851356634,2.25613851356634
XP_392065,2020,A,1,CAS_vs_CRA,1.06171806278111e-09,1.19689862123257,1.19689862123257
XP_026300835,2020,A,1,CAC_vs_CRA,1.49063192835118e-09,1.6128806577238,1.6128806577238
XP_016770574,2020,A,1,CAC_vs_CRA,3.52883733186411e-09,3.37115373900732,3.37115373900732
XP_392826,2020,A,1,CAC_vs_CRA,4.50196570540488e-09,1.46498386546641,1.46498386546641
XP_624282,2020,A,1,CAC_vs_CRA,3.0801796681028e-08,1.22274547691437,1.22274547691437
XP_006569868,2020,A,1,CAC_vs_CRA,3.22559063115046e-08,4.07036035637497,4.07036035637497
XP_006565924,2020,A,1,CAC_vs_CRA,4.09851812204262e-08,1.87160051934981,1.87160051934981
XP_016766623,2020,A,1,CAC_vs_CRA,4.12916862753557e-08,1.50978911435546,1.50978911435546
XP_006564151,2020,A,1,CAC_vs_CRA,4.64722151979055e-08,2.57953275793849,2.57953275793849
XP_393267,2020,A,1,CAC_vs_CRA,4.91034134454731e-08,2.04493281029644,2.04493281029644
NP_001155303,2020,A,1,CAC_vs_CRA,8.67530340139824e-08,1.29931705389845,1.29931705389845
XP_393914,2020,A,1,CAC_vs_CRA,9.43837272008176e-08,1.94695762265775,1.94695762265775
XP_006569106,2020,A,1,CAC_vs_CAS,7.34414021341723e-05,1.4216428087764,1.4216428087764
XP_026298908,2020,A,1,CAC_vs_CAS,0.0014756186435614,0.899502816737828,0.899502816737828
NP_008083,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.17734125730232,1.17734125730232
XP_001122511,2020,A,1,CAC_vs_CAS,0.0055545112615203,0.963451912770362,0.963451912770362
XP_006564162,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.04903850408813,1.04903850408813
XP_006564977,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.04005729664694,1.04005729664694
XP_006571842,2020,A,1,CAC_vs_CAS,0.0055545112615203,0.548046574557866,0.548046574557866
XP_394153,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.17322882112779,1.17322882112779
XP_394536,2020,A,1,CAC_vs_CAS,0.0055545112615203,1.35273815302098,1.35273815302098
XP_624704,2020,A,1,CAC_vs_CAS,0.0055545112615203,0.970243240165395,0.970243240165395
XP_006557646,2020,A,1,CAC_vs_CAS,0.006171582387255,0.862753543922505,0.862753543922505
XP_006567826,2020,A,1,CAC_vs_CAS,0.0061938528583366,0.538128567806874,0.538128567806874
XP_026301974,2020,A,1,CAC_vs_CAS,0.0061938528583366,1.28937410340617,1.28937410340617
XP_006564448,2020,A,1,CAC_vs_CAS,0.0073347274816055,1.06177548949819,1.06177548949819
XP_026299142,2020,A,1,CAC_vs_CAS,0.0103388156927295,1.08956129504599,1.08956129504599
XP_006570204,2020,A,1,CAC_vs_CAS,0.0111362104474188,0.722100414465993,0.722100414465993
XP_395109,2020,A,1,CAC_vs_CAS,0.0114438338810117,1.19143092726695,1.19143092726695
XP_006568679,2020,A,1,CAC_vs_CAS,0.0140859505910553,1.32093100200966,1.32093100200966
XP_001122522,2020,A,1,CAC_vs_CAS,0.0150305217818293,0.561596346905604,0.561596346905604
XP_624608,2020,A,1,CAC_vs_CAS,0.0150305217818293,0.879591837663186,0.879591837663186
