protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_006566159,2020,H,1,CAC_vs_CRA,1.54497487893931e-10,2.42181511619746,2.42181511619746
XP_026299019,2020,H,1,CAC_vs_CRA,1.56477304593818e-10,3.91177383502668,3.91177383502668
XP_026297197,2020,H,1,CAC_vs_CRA,3.41731829828662e-10,2.00128145474965,2.00128145474965
XP_006569106,2020,H,1,CAC_vs_CAS,0.0001234469928966,1.65179896950912,1.65179896950912
XP_396203,2020,H,1,CAC_vs_CAS,0.0001234469928966,0.764871360838919,0.764871360838919
XP_026298166,2020,H,1,CAC_vs_CAS,0.000497779560133,1.49817439418415,1.49817439418415
XP_016767372,2020,H,1,CAC_vs_CAS,0.0005338642320012,1.47402802587204,1.47402802587204
XP_006558733,2020,H,1,CAC_vs_CAS,0.0005719980131629,1.15240375314574,1.15240375314574
XP_026296542,2020,H,1,CAC_vs_CAS,0.0006877409133434,1.59891899046216,1.59891899046216
XP_006571445,2020,H,1,CAC_vs_CAS,0.0032115240940758,1.1692985449422,1.1692985449422
XP_006561799,2020,H,1,CAC_vs_CAS,0.0033128287243243,0.656085021619846,0.656085021619846
XP_006563572,2020,H,1,CAC_vs_CAS,0.005762625416089,0.918175467084586,0.918175467084586
XP_026294703,2020,H,1,CAC_vs_CAS,0.0060861347811639,1.48134532117822,1.48134532117822
XP_625005,2020,H,1,CAC_vs_CAS,0.0060861347811639,0.551887724589346,0.551887724589346
XP_006566184,2020,H,1,CAC_vs_CAS,0.0064395658935551,1.32110707105113,1.32110707105113
XP_016768829,2020,H,1,CAC_vs_CAS,0.0098953111102176,0.947085298967281,0.947085298967281
NP_001013377,2020,H,1,CAC_vs_CAS,0.0102159647483331,1.07309764257696,1.07309764257696
NP_001129678,2020,H,1,CAC_vs_CAS,0.0102159647483331,1.43470809722487,1.43470809722487
XP_026297392,2020,H,1,CAC_vs_CAS,0.0102159647483331,0.58139967224917,0.58139967224917
XP_026297790,2020,H,1,CAC_vs_CAS,0.0147254262288599,0.891289774096338,0.891289774096338
XP_006571252,2020,H,1,CAC_vs_CAS,0.0148670445123271,0.789829427192547,0.789829427192547
XP_623499,2020,H,1,CAC_vs_CAS,0.0164940742837889,1.04182771650256,1.04182771650256
XP_006570210,2020,H,1,CAC_vs_CAS,0.0169507107692679,0.62150183928628,0.62150183928628
